Frame, Time_def, MFilt_x, MFilt_y, MFilt_z, VelFilt_abs, Vel_x, Vel_y, Vel_z
0, 0.000899487, 63.2932, -11.4102, 6.31318, 174.064, -102.341, -140.557, -8.27653
1, 0.0546594, 62.6192, 7.31661, 25.1197, 26.5487, -0.674002, 18.7269, 18.8065
2, 0.0492035, 357.85, 292.982, 12.5596, 411.003, 295.23, 285.665, -12.5601
3, 0.0549988, 342.265, 276.237, 10.4907, 22.9683, -15.5843, -16.7449, -2.06897
4, 0.050751, 220.992, 155.927, 11.0909, 170.827, -121.273, -120.31, 0.600219
5, 0.0558294, 98.9311, 37.8337, 16.9725, 169.94, -122.061, -118.094, 5.88165
6, 0.0487028, 47.3684, -9.15332, 24.0781, 70.1212, -51.5627, -46.987, 7.10557
7, 0.0552789, 44.5701, -10.6156, 26.4073, 3.92346, -2.79823, -1.46223, 2.32922
8, 0.0481944, 83.8987, 34.2298, 23.0289, 59.7433, 39.3286, 44.8454, -3.37841
9, 0.05489, 137.871, 97.8208, 18.1317, 83.551, 53.972, 63.591, -4.89719
10, 0.0483439, 133.047, 89.4678, 16.696, 9.75218, -4.82409, -8.35296, -1.43569
11, 0.0560614, 87.9754, 32.1732, 18.0329, 72.9101, -45.0713, -57.2946, 1.33683
12, 0.0501711, 67.2704, 7.0752, 19.7874, 32.5835, -20.7049, -25.098, 1.75449
13, 0.0570115, 71.4113, 13.7351, 21.0779, 7.9478, 4.14091, 6.65994, 1.29055
14, 0.0479833, 72.9877, 16.8031, 21.6584, 3.49773, 1.57635, 3.06794, 0.580492
15, 0.0544109, 80.517, 26.9454, 21.571, 12.6319, 7.5293, 10.1423, -0.08741
16, 0.0489469, 98.3139, 49.709, 21.3939, 28.8953, 17.7969, 22.7636, -0.17713
17, 0.055781, 93.8747, 43.7579, 21.7919, 7.43507, -4.4392, -5.95108, 0.398024
18, 0.0481251, 153.77, 94.0252, 18.7491, 78.2526, 59.895, 50.2673, -3.04282
19, 0.0547214, 272.635, 205.774, 14.5691, 163.2, 118.865, 111.749, -4.17995
20, 0.048039, 251.462, 185.517, 15.3751, 29.3133, -21.1723, -20.2572, 0.806039
21, 0.066407, 129.309, 64.1612, 16.5271, 172.192, -122.154, -121.356, 1.15198
22, 0.0576815, 93.6177, 36.2342, 15.1086, 45.3408, -35.6912, -27.927, -1.41852
23, 0.0555046, 142.093, 103.144, 15.2217, 82.6247, 48.4758, 66.9099, 0.1131
